05:47, 05:53, 6分, 宇都宮線, 熱海行
06:03, 06:09, 6分, 宇都宮線, 平塚行
06:14, 06:21, 7分, 宇都宮線, 上野行
06:26, 06:32, 6分, 宇都宮線, 小田原行
06:35, 06:42, 7分, 湘南新宿ライン, 大船行
06:45, 06:51, 6分, 宇都宮線, 熱海行
06:54, 07:01, 7分, 宇都宮線, 上野行
07:00, 07:06, 6分, 宇都宮線, 熱海行
07:05, 07:11, 6分, 湘南新宿ライン, 大船行
07:10, 07:16, 6分, 宇都宮線, 国府津行
07:14, 07:21, 7分, 宇都宮線, 上野行
07:20, 07:27, 7分, 湘南新宿ライン, 大船行
07:25, 07:31, 6分, 宇都宮線, 平塚行
07:32, 07:38, 6分, 宇都宮線, 小田原行
07:38, 07:45, 7分, 湘南新宿ライン, 逗子行
07:44, 07:50, 6分, 宇都宮線, 国府津行
07:50, 07:56, 6分, 湘南新宿ライン, 大船行
07:55, 08:02, 7分, 宇都宮線, 品川行
08:01, 08:07, 6分, 湘南新宿ライン, 逗子行
08:06, 08:13, 7分, 宇都宮線, 上野行
08:13, 08:20, 7分, 宇都宮線, 品川行
08:22, 08:29, 7分, 宇都宮線, 熱海行
08:31, 08:38, 7分, 宇都宮線, 熱海行
08:39, 08:45, 6分, 湘南新宿ライン, 大船行
08:48, 08:55, 7分, 宇都宮線, 熱海行
08:59, 09:06, 7分, 宇都宮線, 品川行
09:10, 09:16, 6分, 湘南新宿ライン, 逗子行
09:19, 09:25, 6分, 宇都宮線, 熱海行
09:29, 09:36, 7分, 宇都宮線, 上野行
09:36, 09:42, 6分, 湘南新宿ライン, 逗子行
09:48, 09:54, 6分, 宇都宮線, 熱海行
10:03, 10:09, 6分, 湘南新宿ライン, 逗子行
10:16, 10:22, 6分, 宇都宮線, 平塚行
10:32, 10:38, 6分, 宇都宮線, 平塚行
10:36, 10:41, 5分, 湘南新宿ライン快速, 逗子行
10:51, 10:57, 6分, 宇都宮線, 熱海行
