05:27, 05:49, 22分, 高崎線, 小田原行
05:45, 06:06, 21分, 湘南新宿ライン, 平塚行
05:55, 06:17, 22分, 高崎線, 小田原行
06:03, 06:25, 22分, 高崎線, 熱海行
06:12, 06:36, 24分, 高崎線, 上野行
06:21, 06:44, 23分, 高崎線, 国府津行
06:25, 06:49, 24分, 高崎線, 上野行
06:32, 06:56, 24分, 高崎線, 小田原行
06:38, 07:02, 24分, 湘南新宿ライン, 平塚行
06:46, 07:11, 25分, 高崎線, 品川行
06:53, 07:17, 24分, 湘南新宿ライン, 小田原行
06:58, 07:22, 24分, 高崎線, 熱海行
07:04, 07:27, 23分, 高崎線, 上野行
07:09, 07:34, 25分, 高崎線, 大船行
07:13, 07:38, 25分, 湘南新宿ライン, 国府津行
07:17, 07:42, 25分, 高崎線, 上野行
07:21, 07:46, 25分, 高崎線, 熱海行
07:25, 07:50, 25分, 湘南新宿ライン, 平塚行
07:29, 07:54, 25分, 高崎線, 上野行
07:33, 07:58, 25分, 高崎線, 熱海行
07:37, 08:02, 25分, 湘南新宿ライン, 小田原行
07:41, 08:06, 25分, 高崎線, 上野行
07:45, 08:10, 25分, 高崎線, 小田原行
07:50, 08:15, 25分, 高崎線, 上野行
07:55, 08:20, 25分, 高崎線, 平塚行
08:02, 08:27, 25分, 湘南新宿ライン, 国府津行
08:11, 08:34, 23分, 高崎線, 品川行
08:22, 08:46, 24分, 高崎線, 平塚行
08:31, 08:56, 25分, 湘南新宿ライン, 国府津行
08:41, 09:04, 23分, 高崎線, 小田原行
08:47, 09:16, 29分, 高崎線, 熱海行
09:01, 09:23, 22分, 湘南新宿ライン, 小田原行
09:10, 09:32, 22分, 高崎線, 品川行
09:21, 09:42, 21分, 高崎線, 平塚行
09:32, 09:56, 24分, 湘南新宿ライン, 平塚行
09:43, 10:06, 23分, 高崎線, 上野行
09:49, 10:12, 23分, 高崎線, 小田原行
10:08, 10:27, 19分, 湘南新宿ライン特別快速, 小田原行
10:14, 10:35, 21分, 高崎線, 熱海行
10:26, 10:48, 22分, 高崎線, 熱海行
10:34, 10:56, 22分, 湘南新宿ライン, 平塚行
10:50, 11:12, 22分, 高崎線, 小田原行
11:03, 11:32, 29分, 高崎線, 熱海行
11:07, 11:26, 19分, 湘南新宿ライン特別快速, 小田原行
11:26, 11:49, 23分, 高崎線, 熱海行
11:34, 11:56, 22分, 湘南新宿ライン, 平塚行
11:50, 12:12, 22分, 高崎線, 小田原行
12:03, 12:32, 29分, 高崎線, 熱海行
12:07, 12:26, 19分, 湘南新宿ライン特別快速, 小田原行
12:28, 12:50, 22分, 高崎線, 熱海行
12:34, 12:56, 22分, 湘南新宿ライン, 平塚行
12:49, 13:12, 23分, 高崎線, 小田原行
13:03, 13:32, 29分, 高崎線, 熱海行
13:07, 13:26, 19分, 湘南新宿ライン特別快速, 小田原行
13:28, 13:50, 22分, 高崎線, 熱海行
13:34, 13:56, 22分, 湘南新宿ライン, 国府津行
13:50, 14:12, 22分, 高崎線, 小田原行
14:03, 14:32, 29分, 高崎線, 伊東行
14:07, 14:26, 19分, 湘南新宿ライン特別快速, 小田原行
14:26, 14:50, 24分, 高崎線, 熱海行
14:33, 14:55, 22分, 湘南新宿ライン, 平塚行
14:51, 15:13, 22分, 高崎線, 熱海行
15:03, 15:32, 29分, 高崎線, 平塚行
15:07, 15:26, 19分, 湘南新宿ライン特別快速, 小田原行
15:26, 15:50, 24分, 高崎線, 沼津行
15:34, 15:56, 22分, 湘南新宿ライン, 平塚行
15:50, 16:12, 22分, 高崎線, 小田原行
16:03, 16:32, 29分, 高崎線, 平塚行
16:07, 16:26, 19分, 湘南新宿ライン特別快速, 小田原行
16:19, 16:41, 22分, 高崎線, 熱海行
16:29, 16:52, 23分, 高崎線, 上野行
16:36, 16:59, 23分, 湘南新宿ライン, 平塚行
16:43, 17:06, 23分, 高崎線, 小田原行
16:53, 17:15, 22分, 高崎線, 国府津行
17:07, 17:29, 22分, 湘南新宿ライン, 小田原行
17:11, 17:33, 22分, 高崎線, 熱海行
17:22, 17:50, 28分, 高崎線, 小田原行
17:35, 17:56, 21分, 湘南新宿ライン, 小田原行
17:43, 18:05, 22分, 高崎線, 平塚行
17:58, 18:20, 22分, 高崎線, 小田原行
18:10, 18:32, 22分, 湘南新宿ライン, 国府津行
18:18, 18:40, 22分, 高崎線, 沼津行
18:27, 18:55, 28分, 高崎線, 上野行
18:31, 18:48, 17分, 高崎線快速アーバン, 上野行
18:43, 19:05, 22分, 高崎線, 小田原行
18:49, 19:11, 22分, 湘南新宿ライン, 平塚行
19:00, 19:25, 25分, 高崎線, 沼津行
19:12, 19:34, 22分, 湘南新宿ライン, 平塚行
19:20, 19:48, 28分, 高崎線, 熱海行
19:24, 19:42, 18分, 高崎線快速アーバン, 上野行
19:40, 20:02, 22分, 湘南新宿ライン, 国府津行
19:45, 20:06, 21分, 高崎線, 熱海行
20:05, 20:26, 21分, 高崎線, 伊東行
20:13, 20:35, 22分, 湘南新宿ライン, 小田原行
20:23, 20:50, 27分, 高崎線, 沼津行
20:26, 20:43, 17分, 高崎線快速アーバン, 上野行
20:44, 21:08, 24分, 高崎線, 国府津行
20:59, 21:23, 24分, 湘南新宿ライン, 小田原行
21:05, 21:27, 22分, 高崎線, 国府津行
21:12, 21:35, 23分, 高崎線, 平塚行
21:27, 21:48, 21分, 高崎線, 上野行
21:33, 21:55, 22分, 高崎線, 小田原行
21:47, 22:10, 23分, 湘南新宿ライン, 小田原行
21:52, 22:15, 23分, 高崎線, 熱海行
22:02, 22:24, 22分, 湘南新宿ライン, 国府津行
22:08, 22:30, 22分, 高崎線, 上野行
22:16, 22:38, 22分, 高崎線, 東京行
22:27, 22:50, 23分, 高崎線, 上野行
22:43, 23:04, 21分, 高崎線, 上野行
22:59, 23:21, 22分, 高崎線, 上野行
23:08, 23:30, 22分, 高崎線, 上野行
23:26, 23:48, 22分, 高崎線, 上野行
