05:36, 05:42, 6分, 宇都宮線, 宇都宮行
05:58, 06:03, 5分, 宇都宮線, 宇都宮行
06:12, 06:18, 6分, 宇都宮線, 宇都宮行
06:34, 06:40, 6分, 宇都宮線, 宇都宮行
06:54, 07:00, 6分, 宇都宮線, 宇都宮行
07:04, 07:09, 5分, 宇都宮線, 小金井行
07:12, 07:16, 4分, 宇都宮線快速ラビット, 宇都宮行
07:27, 07:33, 6分, 宇都宮線, 宇都宮行
07:43, 07:49, 6分, 宇都宮線, 宇都宮行
07:53, 07:59, 6分, 湘南新宿ライン, 宇都宮行
08:05, 08:10, 5分, 宇都宮線, 小金井行
08:14, 08:20, 6分, 宇都宮線, 宇都宮行
08:23, 08:27, 4分, 宇都宮線快速ラビット, 宇都宮行
08:30, 08:36, 6分, 湘南新宿ライン, 小金井行
08:37, 08:44, 7分, 宇都宮線, 宇都宮行
08:49, 08:55, 6分, 湘南新宿ライン, 宇都宮行
08:53, 09:00, 7分, 宇都宮線, 小金井行
09:07, 09:12, 5分, 宇都宮線, 宇都宮行
09:10, 09:16, 6分, 湘南新宿ライン, 小金井行
09:15, 09:21, 6分, 宇都宮線, 宇都宮行
09:22, 09:29, 7分, 宇都宮線, 小金井行
09:28, 09:34, 6分, 湘南新宿ライン, 小金井行
09:35, 09:42, 7分, 宇都宮線, 古河行
09:42, 09:47, 5分, 湘南新宿ライン快速, 宇都宮行
09:48, 09:54, 6分, 宇都宮線, 宇都宮行
10:02, 10:08, 6分, 宇都宮線, 小金井行
10:15, 10:21, 6分, 湘南新宿ライン, 宇都宮行
10:20, 10:26, 6分, 宇都宮線, 小金井行
10:28, 10:35, 7分, 湘南新宿ライン, 古河行
10:35, 10:41, 6分, 宇都宮線, 宇都宮行
10:51, 10:57, 6分, 宇都宮線, 小金井行
11:04, 11:09, 5分, 宇都宮線, 宇都宮行
11:08, 11:13, 5分, 湘南新宿ライン快速, 宇都宮行
11:17, 11:23, 6分, 湘南新宿ライン, 小金井行
11:20, 11:26, 6分, 宇都宮線, 宇都宮行
11:29, 11:35, 6分, 宇都宮線, 小金井行
11:37, 11:43, 6分, 湘南新宿ライン, 宇都宮行
11:47, 11:52, 5分, 宇都宮線, 小金井行
11:54, 12:00, 6分, 宇都宮線, 宇都宮行
12:05, 12:10, 5分, 湘南新宿ライン, 小金井行
12:10, 12:16, 6分, 宇都宮線, 宇都宮行
12:15, 12:20, 5分, 宇都宮線快速ラビット, 宇都宮行
12:22, 12:28, 6分, 宇都宮線, 小金井行
12:29, 12:35, 6分, 湘南新宿ライン, 宇都宮行
12:34, 12:40, 6分, 宇都宮線, 宇都宮行
12:40, 12:46, 6分, 宇都宮線, 小金井行
12:48, 12:54, 6分, 湘南新宿ライン, 宇都宮行
12:52, 12:58, 6分, 宇都宮線, 小金井行
13:00, 13:05, 5分, 宇都宮線, 宇都宮行
13:04, 13:09, 5分, 湘南新宿ライン, 小金井行
13:10, 13:16, 6分, 宇都宮線, 宇都宮行
13:15, 13:21, 6分, 湘南新宿ライン, 宇都宮行
13:19, 13:25, 6分, 宇都宮線, 小金井行
13:25, 13:31, 6分, 宇都宮線, 宇都宮行
13:33, 13:39, 6分, 湘南新宿ライン, 小金井行
13:40, 13:46, 6分, 宇都宮線, 宇都宮行
13:48, 13:53, 5分, 宇都宮線快速ラビット, 宇都宮行
13:50, 13:56, 6分, 湘南新宿ライン, 小金井行
13:55, 14:01, 6分, 宇都宮線, 宇都宮行
14:00, 14:06, 6分, 宇都宮線, 小金井行
14:05, 14:10, 5分, 湘南新宿ライン, 宇都宮行
14:07, 14:13, 6分, 宇都宮線, 宇都宮行
14:14, 14:20, 6分, 湘南新宿ライン, 小金井行
14:18, 14:23, 5分, 宇都宮線, 宇都宮行
14:22, 14:28, 6分, 宇都宮線, 小金井行
14:30, 14:36, 6分, 湘南新宿ライン, 宇都宮行
14:33, 14:39, 6分, 宇都宮線, 宇都宮行
14:41, 14:47, 6分, 宇都宮線, 小金井行
14:24, 14:30, 6分, 宇都宮線, 宇都宮行
14:41, 14:46, 5分, 湘南新宿ライン快速, 宇都宮行
14:44, 14:50, 6分, 宇都宮線, 宇都宮行
15:01, 15:07, 6分, 宇都宮線, 古河行
15:11, 15:17, 6分, 湘南新宿ライン, 宇都宮行
15:24, 15:30, 6分, 宇都宮線, 小金井行
15:42, 15:47, 5分, 湘南新宿ライン快速, 宇都宮行
15:44, 15:51, 7分, 宇都宮線, 宇都宮行
16:02, 16:07, 5分, 宇都宮線, 古河行
16:11, 16:17, 6分, 湘南新宿ライン, 宇都宮行
16:23, 16:29, 6分, 宇都宮線, 小金井行
16:40, 16:45, 5分, 湘南新宿ライン快速, 宇都宮行
16:43, 16:50, 7分, 宇都宮線, 宇都宮行
17:01, 17:07, 6分, 宇都宮線, 宇都宮行
17:12, 17:18, 6分, 湘南新宿ライン, 古河行
17:21, 17:27, 6分, 宇都宮線, 宇都宮行
17:29, 17:35, 6分, 宇都宮線, 小金井行
17:42, 17:47, 5分, 湘南新宿ライン快速, 宇都宮行
17:45, 17:51, 6分, 宇都宮線, 小金井行
17:52, 17:58, 6分, 宇都宮線, 宇都宮行
18:04, 18:10, 6分, 宇都宮線, 古河行
18:11, 18:18, 7分, 湘南新宿ライン, 小金井行
18:19, 18:25, 6分, 宇都宮線, 宇都宮行
18:28, 18:34, 6分, 宇都宮線, 小金井行
18:40, 18:46, 6分, 宇都宮線, 古河行
18:45, 18:51, 6分, 宇都宮線快速ラビット, 宇都宮行
18:48, 18:55, 7分, 湘南新宿ライン, 宇都宮行
18:54, 19:00, 6分, 宇都宮線, 小金井行
19:03, 19:09, 6分, 宇都宮線, 宇都宮行
19:11, 19:17, 6分, 湘南新宿ライン, 小金井行
19:15, 19:22, 7分, 宇都宮線, 宇都宮行
19:23, 19:29, 6分, 宇都宮線, 小金井行
19:34, 19:40, 6分, 宇都宮線, 小金井行
19:40, 19:46, 6分, 湘南新宿ライン, 古河行
19:46, 19:52, 6分, 宇都宮線快速ラビット, 宇都宮行
19:51, 19:57, 6分, 宇都宮線, 宇都宮行
20:04, 20:10, 6分, 宇都宮線, 古河行
20:11, 20:17, 6分, 湘南新宿ライン, 宇都宮行
20:20, 20:26, 6分, 宇都宮線, 小金井行
20:27, 20:33, 6分, 宇都宮線, 小金井行
20:38, 20:43, 5分, 宇都宮線, 宇都宮行
20:44, 20:49, 5分, 宇都宮線快速ラビット, 宇都宮行
20:46, 20:53, 7分, 湘南新宿ライン, 古河行
20:53, 21:00, 7分, 宇都宮線, 小金井行
21:04, 21:10, 6分, 宇都宮線, 宇都宮行
21:12, 21:18, 6分, 湘南新宿ライン, 古河行
21:21, 21:26, 5分, 宇都宮線, 宇都宮行
21:31, 21:38, 7分, 宇都宮線, 小金井行
21:42, 21:48, 6分, 宇都宮線, 小金井行
21:48, 21:52, 4分, 宇都宮線快速ラビット, 宇都宮行
21:57, 22:04, 7分, 湘南新宿ライン, 宇都宮行
22:03, 22:09, 6分, 宇都宮線, 小金井行
22:17, 22:22, 5分, 宇都宮線, 宇都宮行
22:30, 22:36, 6分, 宇都宮線, 小金井行
22:42, 22:47, 5分, 宇都宮線, 宇都宮行
