05:39, 06:01, 22分, 高崎線, 高崎行
06:10, 06:32, 22分, 高崎線, 高崎行
06:26, 06:48, 22分, 高崎線, 高崎行
06:39, 07:01, 22分, 高崎線, 高崎行
06:52, 07:15, 23分, 高崎線, 高崎行
07:07, 07:31, 24分, 高崎線, 高崎行
07:21, 07:45, 24分, 高崎線, 籠原行
07:30, 07:52, 22分, 湘南新宿ライン, 高崎行
07:38, 08:04, 26分, 高崎線, 籠原行
07:50, 08:12, 22分, 高崎線, 高崎行
07:59, 08:23, 24分, 高崎線, 高崎行
08:11, 08:33, 22分, 湘南新宿ライン, 籠原行
08:17, 08:40, 23分, 高崎線, 高崎行
08:30, 08:51, 21分, 高崎線, 籠原行
08:40, 09:01, 21分, 湘南新宿ライン, 高崎行
08:45, 09:06, 21分, 高崎線, 籠原行
08:56, 09:25, 29分, 湘南新宿ライン, 籠原行
09:01, 09:18, 17分, 高崎線快速アーバン, 高崎行
09:12, 09:34, 22分, 高崎線, 高崎行
09:17, 09:39, 22分, 湘南新宿ライン, 高崎行
09:28, 09:49, 21分, 高崎線, 籠原行
09:41, 10:03, 22分, 高崎線, 籠原行
09:53, 10:10, 17分, 高崎線快速アーバン, 高崎行
09:58, 10:19, 21分, 湘南新宿ライン, 籠原行
10:11, 10:32, 21分, 高崎線, 高崎行
10:23, 10:49, 26分, 高崎線, 高崎行
10:41, 11:10, 29分, 高崎線, 高崎行
10:45, 11:04, 19分, 湘南新宿ライン特別快速, 高崎行
10:57, 11:20, 23分, 高崎線, 籠原行
11:12, 11:35, 23分, 高崎線, 高崎行
11:21, 11:42, 21分, 湘南新宿ライン, 籠原行
11:36, 12:00, 24分, 高崎線, 籠原行
11:51, 12:11, 20分, 湘南新宿ライン特別快速, 高崎行
11:56, 12:20, 24分, 高崎線, 高崎行
12:11, 12:35, 24分, 高崎線, 高崎行
12:21, 12:42, 21分, 湘南新宿ライン, 籠原行
12:37, 13:00, 23分, 高崎線, 籠原行
12:51, 13:09, 18分, 湘南新宿ライン特別快速, 高崎行
12:56, 13:20, 24分, 高崎線, 高崎行
13:11, 13:35, 24分, 高崎線, 高崎行
13:20, 13:41, 21分, 湘南新宿ライン, 籠原行
13:34, 13:56, 22分, 高崎線, 籠原行
13:51, 14:10, 19分, 湘南新宿ライン特別快速, 高崎行
13:55, 14:19, 24分, 高崎線, 高崎行
14:11, 14:35, 24分, 高崎線, 高崎行
14:21, 14:42, 21分, 湘南新宿ライン, 籠原行
14:35, 14:56, 21分, 高崎線, 籠原行
14:51, 15:09, 18分, 湘南新宿ライン特別快速, 高崎行
14:55, 15:20, 25分, 高崎線, 高崎行
15:11, 15:35, 24分, 高崎線, 高崎行
15:21, 15:42, 21分, 湘南新宿ライン, 籠原行
15:35, 15:56, 21分, 高崎線, 籠原行
15:51, 16:09, 18分, 湘南新宿ライン特別快速, 高崎行
15:56, 16:19, 23分, 高崎線, 高崎行
16:11, 16:32, 21分, 高崎線, 高崎行
16:21, 16:42, 21分, 湘南新宿ライン, 籠原行
16:34, 16:56, 22分, 高崎線, 高崎行
16:51, 17:09, 18分, 湘南新宿ライン特別快速, 高崎行
16:54, 17:15, 21分, 高崎線, 籠原行
16:59, 17:20, 21分, 高崎線, 高崎行
17:11, 17:33, 22分, 高崎線, 高崎行
17:21, 17:42, 21分, 湘南新宿ライン, 籠原行
17:32, 17:53, 21分, 高崎線, 高崎行
17:42, 18:04, 22分, 高崎線, 籠原行
17:48, 18:11, 23分, 高崎線, 籠原行
17:54, 18:13, 19分, 湘南新宿ライン特別快速, 高崎行
18:01, 18:23, 22分, 高崎線, 高崎行
18:11, 18:36, 25分, 高崎線, 高崎行
18:22, 18:44, 22分, 湘南新宿ライン, 籠原行
18:32, 18:53, 21分, 高崎線, 高崎行
18:38, 19:02, 24分, 高崎線, 高崎行
18:49, 19:12, 23分, 高崎線, 籠原行
18:58, 19:23, 25分, 湘南新宿ライン, 高崎行
19:06, 19:34, 28分, 高崎線, 高崎行
19:09, 19:28, 19分, 高崎線快速アーバン, 高崎行
19:19, 19:47, 28分, 高崎線, 籠原行
19:27, 19:51, 24分, 湘南新宿ライン, 籠原行
19:37, 19:59, 22分, 高崎線, 高崎行
19:42, 20:04, 22分, 高崎線, 高崎行
19:48, 20:12, 24分, 湘南新宿ライン, 籠原行
19:58, 20:23, 25分, 湘南新宿ライン, 籠原行
20:02, 20:31, 29分, 高崎線, 高崎行
20:09, 20:26, 17分, 高崎線快速アーバン, 高崎行
20:15, 20:38, 23分, 高崎線, 籠原行
20:28, 20:51, 23分, 湘南新宿ライン, 前橋行
20:32, 20:55, 23分, 高崎線, 籠原行
20:41, 21:06, 25分, 高崎線, 籠原行
20:50, 21:13, 23分, 高崎線, 高崎行
20:56, 21:23, 27分, 湘南新宿ライン, 籠原行
21:00, 21:17, 17分, 高崎線快速アーバン, 高崎行
21:10, 21:33, 23分, 高崎線, 高崎行
21:17, 21:40, 23分, 高崎線, 籠原行
21:26, 21:49, 23分, 湘南新宿ライン, 前橋行
21:33, 21:54, 21分, 高崎線, 籠原行
21:43, 22:05, 22分, 湘南新宿ライン, 籠原行
21:53, 22:20, 27分, 高崎線, 籠原行
21:56, 22:15, 19分, 高崎線快速アーバン, 高崎行
22:12, 22:34, 22分, 高崎線, 高崎行
22:17, 22:40, 23分, 湘南新宿ライン, 籠原行
22:31, 22:52, 21分, 湘南新宿ライン, 高崎行
22:35, 22:56, 21分, 高崎線, 籠原行
22:45, 23:06, 21分, 高崎線, 前橋行
23:02, 23:23, 21分, 高崎線, 籠原行
23:06, 23:31, 25分, 湘南新宿ライン, 高崎行
23:20, 23:42, 22分, 高崎線, 籠原行
23:35, 23:56, 21分, 高崎線, 籠原行
23:51, 00:12, 21分, 高崎線, 高崎行
00:08, 00:29, 21分, 湘南新宿ライン, 籠原行
00:14, 00:37, 23分, 高崎線, 籠原行
